route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1-V08-A-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-B-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-C-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-D-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-E-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-F-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-G-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-H-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-I-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-J-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-K-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V08-L-mjp-1","","","Bairnsdale - Melbourne Via Sale & Traralgon","2","8F1A95","FFFFFF"
"1-V12-A-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-B-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-C-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-D-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-E-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-F-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-G-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-H-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-I-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-J-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-K-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V12-L-mjp-1","","","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"1-V23-A-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-B-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-C-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-D-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-E-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-F-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-G-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-H-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-I-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-J-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-K-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V23-L-mjp-1","","","Melbourne - Geelong","2","8F1A95","FFFFFF"
"1-V40-A-mjp-1","","","Seymour - Melbourne Via Broadmeadows","2","8F1A95","FFFFFF"
